Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
130,133," 3, 4, 0, 1, 0, 0",733," 1, 0, 8, 0, 0, 1, 5, 0",972," 3, 0, 4, 0, 0, 1"
131,134," 4, 4, 0, 1, 0, 0",547," 1, 0, 6, 0, 0, 1, 1, 0",973," 4, 0, 4, 0, 0, 1"
132,135," 5, 4, 0, 1, 0, 0",458," 1, 0, 5, 0, 0, 1, 3, 0",974," 5, 0, 4, 0, 0, 1"
133,136," 6, 4, 0, 1, 0, 0",371," 1, 0, 4, 0, 0, 1, 7, 0",975," 6, 0, 4, 0, 0, 1"
134,137," 7, 4, 0, 1, 0, 0",643," 1, 0, 7, 0, 0, 1, 6, 0",976," 7, 0, 4, 0, 0, 1"
135,138," 8, 4, 0, 1, 0, 0",275," 1, 0, 3, 0, 0, 1, 2, 0",977," 8, 0, 4, 0, 0, 1"
136,139," 0, 5, 0, 1, 0, 0",718," 1, 7, 0, 0, 0, 0, 1, 0",986," 0, 0, 5, 0, 0, 1"
137,140," 1, 5, 0, 1, 0, 0",187," 1, 0, 2, 0, 0, 1, 5, 0",987," 1, 0, 5, 0, 0, 1"
138,141," 2, 5, 0, 1, 0, 0",98," 1, 0, 1, 0, 0, 1, 7, 0",988," 2, 0, 5, 0, 0, 1"
139,142," 3, 5, 0, 1, 0, 0",734," 1, 0, 8, 0, 0, 1, 6, 0",989," 3, 0, 5, 0, 0, 1"
140,143," 4, 5, 0, 1, 0, 0",550," 1, 0, 6, 0, 0, 1, 4, 0",990," 4, 0, 5, 0, 0, 1"
141,144," 5, 5, 0, 1, 0, 0",456," 1, 0, 5, 0, 0, 1, 1, 0",991," 5, 0, 5, 0, 0, 1"
142,145," 6, 5, 0, 1, 0, 0",367," 1, 0, 4, 0, 0, 1, 3, 0",992," 6, 0, 5, 0, 0, 1"
143,146," 7, 5, 0, 1, 0, 0",639," 1, 0, 7, 0, 0, 1, 2, 0",993," 7, 0, 5, 0, 0, 1"
144,147," 8, 5, 0, 1, 0, 0",281," 1, 0, 3, 0, 0, 1, 8, 0",994," 8, 0, 5, 0, 0, 1"
145,148," 0, 6, 0, 1, 0, 0",809," 1, 8, 0, 0, 0, 0, 1, 0",1003," 0, 0, 6, 0, 0, 1"
146,149," 1, 6, 0, 1, 0, 0",188," 1, 0, 2, 0, 0, 1, 6, 0",1004," 1, 0, 6, 0, 0, 1"
147,150," 2, 6, 0, 1, 0, 0",94," 1, 0, 1, 0, 0, 1, 3, 0",1005," 2, 0, 6, 0, 0, 1"
148,151," 3, 6, 0, 1, 0, 0",730," 1, 0, 8, 0, 0, 1, 2, 0",1006," 3, 0, 6, 0, 0, 1"
149,152," 4, 6, 0, 1, 0, 0",551," 1, 0, 6, 0, 0, 1, 5, 0",1007," 4, 0, 6, 0, 0, 1"
150,153," 5, 6, 0, 1, 0, 0",459," 1, 0, 5, 0, 0, 1, 4, 0",1008," 5, 0, 6, 0, 0, 1"
151,154," 6, 6, 0, 1, 0, 0",365," 1, 0, 4, 0, 0, 1, 1, 0",1009," 6, 0, 6, 0, 0, 1"
152,155," 7, 6, 0, 1, 0, 0",645," 1, 0, 7, 0, 0, 1, 8, 0",1010," 7, 0, 6, 0, 0, 1"
153,156," 8, 6, 0, 1, 0, 0",280," 1, 0, 3, 0, 0, 1, 7, 0",1011," 8, 0, 6, 0, 0, 1"
154,157," 0, 7, 0, 1, 0, 0",536," 1, 5, 0, 0, 0, 0, 1, 0",1020," 0, 0, 7, 0, 0, 1"
155,158," 1, 7, 0, 1, 0, 0",189," 1, 0, 2, 0, 0, 1, 7, 0",1021," 1, 0, 7, 0, 0, 1"
156,159," 2, 7, 0, 1, 0, 0",96," 1, 0, 1, 0, 0, 1, 5, 0",1022," 2, 0, 7, 0, 0, 1"
157,160," 3, 7, 0, 1, 0, 0",731," 1, 0, 8, 0, 0, 1, 3, 0",1023," 3, 0, 7, 0, 0, 1"
158,161," 4, 7, 0, 1, 0, 0",554," 1, 0, 6, 0, 0, 1, 8, 0",1024," 4, 0, 7, 0, 0, 1"
159,162," 5, 7, 0, 1, 0, 0",457," 1, 0, 5, 0, 0, 1, 2, 0",1025," 5, 0, 7, 0, 0, 1"
160,163," 6, 7, 0, 1, 0, 0",370," 1, 0, 4, 0, 0, 1, 6, 0",1026," 6, 0, 7, 0, 0, 1"
161,164," 7, 7, 0, 1, 0, 0",638," 1, 0, 7, 0, 0, 1, 1, 0",1027," 7, 0, 7, 0, 0, 1"
162,165," 8, 7, 0, 1, 0, 0",277," 1, 0, 3, 0, 0, 1, 4, 0",1028," 8, 0, 7, 0, 0, 1"
163,166," 0, 8, 0, 1, 0, 0",627," 1, 6, 0, 0, 0, 0, 1, 0",1037," 0, 0, 8, 0, 0, 1"
164,167," 1, 8, 0, 1, 0, 0",190," 1, 0, 2, 0, 0, 1, 8, 0",1038," 1, 0, 8, 0, 0, 1"
165,168," 2, 8, 0, 1, 0, 0",95," 1, 0, 1, 0, 0, 1, 4, 0",1039," 2, 0, 8, 0, 0, 1"
166,169," 3, 8, 0, 1, 0, 0",735," 1, 0, 8, 0, 0, 1, 7, 0",1040," 3, 0, 8, 0, 0, 1"
167,170," 4, 8, 0, 1, 0, 0",548," 1, 0, 6, 0, 0, 1, 2, 0",1041," 4, 0, 8, 0, 0, 1"
168,171," 5, 8, 0, 1, 0, 0",461," 1, 0, 5, 0, 0, 1, 6, 0",1042," 5, 0, 8, 0, 0, 1"
169,172," 6, 8, 0, 1, 0, 0",369," 1, 0, 4, 0, 0, 1, 5, 0",1043," 6, 0, 8, 0, 0, 1"
170,173," 7, 8, 0, 1, 0, 0",640," 1, 0, 7, 0, 0, 1, 3, 0",1044," 7, 0, 8, 0, 0, 1"
171,174," 8, 8, 0, 1, 0, 0",274," 1, 0, 3, 0, 0, 1, 1, 0",1045," 8, 0, 8, 0, 0, 1"
172,823," 1, 0, 0, 0, 1, 0",1638," 1, 0, 0, 2, 0, 1, 0, 0",21," 2, 0, 0, 1, 0, 0"
173,824," 2, 0, 0, 0, 1, 0",819," 1, 0, 0, 1, 0, 1, 0, 0",20," 1, 0, 0, 1, 0, 0"
174,825," 3, 0, 0, 0, 1, 0",6552," 1, 0, 0, 8, 0, 1, 0, 0",25," 6, 0, 0, 1, 0, 0"
175,826," 4, 0, 0, 0, 1, 0",4914," 1, 0, 0, 6, 0, 1, 0, 0",27," 8, 0, 0, 1, 0, 0"
176,827," 5, 0, 0, 0, 1, 0",4095," 1, 0, 0, 5, 0, 1, 0, 0",26," 7, 0, 0, 1, 0, 0"
177,828," 6, 0, 0, 0, 1, 0",3276," 1, 0, 0, 4, 0, 1, 0, 0",22," 3, 0, 0, 1, 0, 0"
178,829," 7, 0, 0, 0, 1, 0",5733," 1, 0, 0, 7, 0, 1, 0, 0",24," 5, 0, 0, 1, 0, 0"
179,830," 8, 0, 0, 0, 1, 0",2457," 1, 0, 0, 3, 0, 1, 0, 0",23," 4, 0, 0, 1, 0, 0"
180,903," 0, 0, 1, 0, 1, 0",181," 1, 1, 0, 0, 0, 0, 0, 1",270," 0, 0, 0, 2, 1, 0"
181,904," 1, 0, 1, 0, 1, 0",1647," 1, 0, 0, 2, 0, 1, 0, 1",271," 1, 0, 0, 2, 1, 0"
182,905," 2, 0, 1, 0, 1, 0",837," 1, 0, 0, 1, 0, 1, 0, 2",272," 2, 0, 0, 2, 1, 0"
183,906," 3, 0, 1, 0, 1, 0",6588," 1, 0, 0, 8, 0, 1, 0, 4",273," 3, 0, 0, 2, 1, 0"
184,907," 4, 0, 1, 0, 1, 0",4941," 1, 0, 0, 6, 0, 1, 0, 3",274," 4, 0, 0, 2, 1, 0"
185,908," 5, 0, 1, 0, 1, 0",4158," 1, 0, 0, 5, 0, 1, 0, 7",275," 5, 0, 0, 2, 1, 0"
186,909," 6, 0, 1, 0, 1, 0",3348," 1, 0, 0, 4, 0, 1, 0, 8",276," 6, 0, 0, 2, 1, 0"
187,910," 7, 0, 1, 0, 1, 0",5778," 1, 0, 0, 7, 0, 1, 0, 5",277," 7, 0, 0, 2, 1, 0"
